symbol,name,industry,tier
FEDERALBNK,Federal Bank Ltd.,Financial Services,NIFTY 200
FORTIS,Fortis Healthcare Ltd.,Healthcare,NIFTY 200
GMRAIRPORT,GMR Airports Ltd.,Services,NIFTY 200
GODREJPROP,Godrej Properties Ltd.,Realty,NIFTY 200
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,NIFTY 200
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 200
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,NIFTY 200
IDEA,Vodafone Idea Ltd.,Telecommunication,NIFTY 200
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,NIFTY 200
INDIANB,Indian Bank,Financial Services,NIFTY 200
INDUSTOWER,Indus Towers Ltd.,Telecommunication,NIFTY 200
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,NIFTY 200
IRB,IRB Infrastructure Developers Ltd.,Construction,NIFTY 200
JINDALSTEL,Jindal Steel & Power Ltd.,Metals & Mining,NIFTY 200
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,NIFTY 200
KPITTECH,KPIT Technologies Ltd.,Information Technology,NIFTY 200
LTF,L&T Finance Ltd.,Financial Services,NIFTY 200
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,NIFTY 200
LUPIN,Lupin Ltd.,Healthcare,NIFTY 200
MRF,MRF Ltd.,Automobile and Auto Components,NIFTY 200
MFSL,Max Financial Services Ltd.,Financial Services,NIFTY 200
MPHASIS,Mphasis Ltd.,Information Technology,NIFTY 200
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,NIFTY 200
NHPC,NHPC Ltd.,Power,NIFTY 200
NMDC,NMDC Ltd.,Metals & Mining,NIFTY 200
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,NIFTY 200
OBEROIRLTY,Oberoi Realty Ltd.,Realty,NIFTY 200
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY 200
PAYTM,One 97 Communications Ltd.,Financial Services,NIFTY 200
PERSISTENT,Persistent Systems Ltd.,Information Technology,NIFTY 200
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,NIFTY 200
PHOENIXLTD,Phoenix Mills Ltd.,Realty,NIFTY 200
POLICYBZR,PB Fintech Ltd.,Financial Services,NIFTY 200
POLYCAB,Polycab India Ltd.,Capital Goods,NIFTY 200
PRESTIGE,Prestige Estates Projects Ltd.,Realty,NIFTY 200
SAIL,Steel Authority of India Ltd.,Metals & Mining,NIFTY 200
SHREECEM,Shree Cement Ltd.,Construction Materials,NIFTY 200
SRF,SRF Ltd.,Chemicals,NIFTY 200
SUZLON,Suzlon Energy Ltd.,Capital Goods,NIFTY 200
TATACOMM,Tata Communications Ltd.,Telecommunication,NIFTY 200
TATAELXSI,Tata Elxsi Ltd.,Information Technology,NIFTY 200
TATATECH,Tata Technologies Ltd.,Information Technology,NIFTY 200
THERMAX,Thermax Ltd.,Capital Goods,NIFTY 200
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,NIFTY 200
TORNTPOWER,Torrent Power Ltd.,Power,NIFTY 200
UNIONBANK,Union Bank of India,Financial Services,NIFTY 200
UPL,UPL Ltd.,Chemicals,NIFTY 200
VOLTAS,Voltas Ltd.,Consumer Durables,NIFTY 200
YESBANK,Yes Bank Ltd.,Financial Services,NIFTY 200
AARTIIND,Aarti Industries Ltd.,Chemicals,NIFTY 500
AAVAS,Aavas Financiers Ltd.,Financial Services,NIFTY 500
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,NIFTY 500
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,NIFTY 500
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,NIFTY 500
AFFLE,Affle 3i Ltd.,Information Technology,NIFTY 500
AIAENG,AIA Engineering Ltd.,Capital Goods,NIFTY 500
AJANTPHARM,Ajanta Pharma Ltd.,Healthcare,NIFTY 500
AKZOINDIA,Akzo Nobel India Ltd.,Consumer Durables,NIFTY 500
AMBER,Amber Enterprises India Ltd.,Consumer Durables,NIFTY 500
ANGELONE,Angel One Ltd.,Financial Services,NIFTY 500
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,NIFTY 500
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,NIFTY 500
ATUL,Atul Ltd.,Chemicals,NIFTY 500
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,NIFTY 500
BATAINDIA,Bata India Ltd.,Consumer Durables,NIFTY 500
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,NIFTY 500
BLUESTARCO,Blue Star Ltd.,Consumer Durables,NIFTY 500
BSE,BSE Ltd.,Financial Services,NIFTY 500
BSOFT,BirlaSoft Ltd.,Information Technology,NIFTY 500
CAMS,Computer Age Management Services Ltd.,Financial Services,NIFTY 500
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,NIFTY 500
CDSL,Central Depository Services (India) Ltd.,Financial Services,NIFTY 500
CEATLTD,CEAT Ltd.,Automobile and Auto Components,NIFTY 500
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,NIFTY 500
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,NIFTY 500
COROMANDEL,Coromandel International Ltd.,Chemicals,NIFTY 500
CRISIL,CRISIL Ltd.,Financial Services,NIFTY 500
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,NIFTY 500
CYIENT,Cyient Ltd.,Information Technology,NIFTY 500
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,NIFTY 500
DELHIVERY,Delhivery Ltd.,Services,NIFTY 500
EIHOTEL,EIH Ltd.,Consumer Services,NIFTY 500
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,NIFTY 500
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,NIFTY 500
ENGINERSIN,Engineers India Ltd.,Construction,NIFTY 500
FINEORG,Fine Organic Industries Ltd.,Chemicals,NIFTY 500
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,NIFTY 500
GLAND,Gland Pharma Ltd.,Healthcare,NIFTY 500
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTY 500
GRANULES,Granules India Ltd.,Healthcare,NIFTY 500
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,NIFTY 500
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,NIFTY 500
HFCL,HFCL Ltd.,Telecommunication,NIFTY 500
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,NIFTY 500
IEX,Indian Energy Exchange Ltd.,Financial Services,NIFTY 500
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY 500
IIFL,IIFL Finance Ltd.,Financial Services,NIFTY 500
IPCALAB,IPCA Laboratories Ltd.,Healthcare,NIFTY 500
IRCON,Ircon International Ltd.,Construction,NIFTY 500
JBCHEPHARM,J B Chemicals & Pharmaceuticals Ltd.,Healthcare,NIFTY 500
JKCEMENT,J K Cement Ltd.,Construction Materials,NIFTY 500
JSWINFRA,JSW Infrastructure Ltd.,Services,NIFTY 500
JUSTDIAL,Just Dial Ltd.,Consumer Services,NIFTY 500
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,NIFTY 500
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,NIFTY 500
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,NIFTY 500
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables,NIFTY 500
KEC,KEC International Ltd.,Capital Goods,NIFTY 500
KEI,KEI Industries Ltd.,Capital Goods,NIFTY 500
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,NIFTY 500
KPRMILL,K.P.R. Mill Ltd.,Textiles,NIFTY 500
LAURUSLABS,Laurus Labs Ltd.,Healthcare,NIFTY 500
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,NIFTY 500
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,NIFTY 500
MAZDOCK,Mazagon Dock Shipbuilders Ltd.,Capital Goods,NIFTY 500
METROBRAND,Metro Brands Ltd.,Consumer Durables,NIFTY 500
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY 500
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,NIFTY 500
NATCOPHARM,Natco Pharma Ltd.,Healthcare,NIFTY 500
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,NIFTY 500
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,NIFTY 500
NBCC,NBCC (India) Ltd.,Construction,NIFTY 500
NCC,NCC Ltd.,Construction,NIFTY 500
NLCINDIA,NLC India Ltd.,Power,NIFTY 500
OFSS,Oracle Financial Services Software Ltd.,Information Technology,NIFTY 500
PAGEIND,Page Industries Ltd.,Textiles,NIFTY 500
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,NIFTY 500
PCBL,PCBL Chemical Ltd.,Chemicals,NIFTY 500
PIIND,PI Industries Ltd.,Chemicals,NIFTY 500
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,NIFTY 500
RADICO,Radico Khaitan Ltd.,Fast Moving Consumer Goods,NIFTY 500
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,NIFTY 500
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,NIFTY 500
RBLBANK,RBL Bank Ltd.,Financial Services,NIFTY 500
RVNL,Rail Vikas Nigam Ltd.,Construction,NIFTY 500
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,NIFTY 500
SJVN,SJVN Ltd.,Power,NIFTY 500
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,NIFTY 500
SUNDRMFAST,Sundram Fasteners Ltd.,Automobile and Auto Components,NIFTY 500
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,NIFTY 500
SUVENPHAR,Suven Pharmaceuticals Ltd.,Healthcare,NIFTY 500
SYNGENE,Syngene International Ltd.,Healthcare,NIFTY 500
TATACHEM,Tata Chemicals Ltd.,Chemicals,NIFTY 500
TEJASNET,Tejas Networks Ltd.,Telecommunication,NIFTY 500
TRIDENT,Trident Ltd.,Textiles,NIFTY 500
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,NIFTY 500
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,NIFTY 500
VGUARD,V-Guard Industries Ltd.,Consumer Durables,NIFTY 500
WELCORP,Welspun Corp Ltd.,Metals & Mining,NIFTY 500
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,NIFTY 500
ZENSARTECH,Zensar Technologies Ltd.,Information Technology,NIFTY 500
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,NIFTY 500
